file,line_number,url,link_text,category,status,fix_recommendation,suggested_new_url,priority,context
src/how-to-get-rid-of-a-mattress-in-anaheim-ca.md,24,https://www.abedderworld.com/Anaheim-CA,,city_page_old_format,broken,Manual review required - link may be outdated or page may not exist,,medium,## Option #1: [A Bedder World Mattress Recycling](https://www.abedderworld.com/Anaheim-CA) \- Curbside Pick Up
src/how-to-get-rid-of-a-mattress-in-anaheim-ca.md,24,https://www.abedderworld.com/Anaheim-CA,A Bedder World Mattress Recycling,city_page_old_format,broken,Manual review required - link may be outdated or page may not exist,,medium,## Option #1: [A Bedder World Mattress Recycling](https://www.abedderworld.com/Anaheim-CA) \- Curbside Pick Up
src/how-to-get-rid-of-a-mattress-in-anaheim-ca.md,28,https://www.abedderworld.com/Anaheim-CA,,city_page_old_format,broken,Manual review required - link may be outdated or page may not exist,,medium,[Book Online - Curbside Pick Up](https://www.abedderworld.com/Anaheim-CA)
src/how-to-get-rid-of-a-mattress-in-anaheim-ca.md,28,https://www.abedderworld.com/Anaheim-CA,Book Online - Curbside Pick Up,city_page_old_format,broken,Manual review required - link may be outdated or page may not exist,,medium,[Book Online - Curbside Pick Up](https://www.abedderworld.com/Anaheim-CA)
src/how-to-get-rid-of-a-mattress-in-anaheim-ca.md,36,https://www.abedderworld.com/Santa-Ana-CA,,product_info_page,broken,Manual review required - link may be outdated or page may not exist,,medium,"mile radius around Anaheim (Including [Santa Ana](https://www.abedderworld.com/Santa-Ana-CA), [Irvine](https://www.abedderworld.com/Irvine-CA"
src/how-to-get-rid-of-a-mattress-in-anaheim-ca.md,36,https://www.abedderworld.com/Irvine-CA,,city_page_old_format,broken,Manual review required - link may be outdated or page may not exist,,medium,"ps://www.abedderworld.com/Santa-Ana-CA), [Irvine](https://www.abedderworld.com/Irvine-CA), [Long Beach](https://www.abedderworld.com/Long-"
src/how-to-get-rid-of-a-mattress-in-anaheim-ca.md,36,https://www.abedderworld.com/Long-Beach-CA,,product_info_page,broken,Manual review required - link may be outdated or page may not exist,,medium,"s://www.abedderworld.com/Irvine-CA), [Long Beach](https://www.abedderworld.com/Long-Beach-CA), [Huntington Beach](https://www.abedderworld.com"
src/how-to-get-rid-of-a-mattress-in-anaheim-ca.md,36,https://www.abedderworld.com/Huntington-Beach-CA,,product_info_page,broken,Manual review required - link may be outdated or page may not exist,,medium,"edderworld.com/Long-Beach-CA), [Huntington Beach](https://www.abedderworld.com/Huntington-Beach-CA) & [Los Angeles](https://www.abedderworld.com/Los"
src/how-to-get-rid-of-a-mattress-in-anaheim-ca.md,36,https://www.abedderworld.com/Los-Angeles-CA,,product_info_page,broken,Manual review required - link may be outdated or page may not exist,,medium,derworld.com/Huntington-Beach-CA) & [Los Angeles](https://www.abedderworld.com/Los-Angeles-CA)
src/how-to-get-rid-of-a-mattress-in-anaheim-ca.md,36,https://www.abedderworld.com/Santa-Ana-CA,Santa Ana,product_info_page,broken,Manual review required - link may be outdated or page may not exist,,medium,"rving a 50+ mile radius around Anaheim (Including [Santa Ana](https://www.abedderworld.com/Santa-Ana-CA), [Irvine](https://www.abedderworld.com/Irvine-CA)"
